open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
340.0,343.43,336.51,340.36,918955.0,343.43,336.51,340.36,340.0,918955.0,1.0,0.0,SPOT,XNYS,2024-08-12
337.27,343.275,333.67,339.9,1213055.0,343.275,333.67,339.9,337.27,1213055.0,1.0,0.0,SPOT,XNYS,2024-08-09
328.2,339.49,324.36,338.32,1445099.0,339.49,324.36,338.32,328.2,1445099.0,1.0,0.0,SPOT,XNYS,2024-08-08
329.0,335.3633,323.16,323.34,1320464.0,335.3633,323.16,323.34,329.0,1320726.0,1.0,0.0,SPOT,XNYS,2024-08-07
323.99,330.72,320.38,327.3,1540258.0,330.72,320.38,327.3,323.99,1540279.0,1.0,0.0,SPOT,XNYS,2024-08-06
302.01,325.59,300.57,324.03,3183507.0,325.59,300.57,324.03,302.01,3183833.0,1.0,0.0,SPOT,XNYS,2024-08-05
326.41,332.4,318.75,330.85,2977814.0,332.4,318.75,330.85,326.41,2977814.0,1.0,0.0,SPOT,XNYS,2024-08-02
345.09,359.375,335.01,336.5,2642530.0,359.375,335.01,336.5,345.09,2642530.0,1.0,0.0,SPOT,XNYS,2024-08-01
334.05,344.34,330.14,343.94,2118003.0,344.34,330.14,343.94,334.05,2118003.0,1.0,0.0,SPOT,XNYS,2024-07-31
323.35,334.65,321.83,330.35,2508339.0,334.65,321.83,330.35,323.35,2508339.0,1.0,0.0,SPOT,XNYS,2024-07-30
323.74,328.07,319.73,323.74,1736792.0,328.07,319.73,323.74,323.74,1736792.0,1.0,0.0,SPOT,XNYS,2024-07-29
330.42,331.37,320.2,321.88,1986644.0,331.37,320.2,321.88,330.42,1986644.0,1.0,0.0,SPOT,XNYS,2024-07-26
336.82,341.0,324.08,328.95,2716343.0,341.0,324.08,328.95,336.82,2716343.0,1.0,0.0,SPOT,XNYS,2024-07-25
333.62,346.23,328.76,336.52,5691169.0,346.23,328.76,336.52,333.62,5691169.0,1.0,0.0,SPOT,XNYS,2024-07-24
339.5,343.4,326.5,330.79,6669226.0,343.4,326.5,330.79,339.5,6669226.0,1.0,0.0,SPOT,XNYS,2024-07-23
298.0,300.72,290.13,295.45,3122106.0,300.72,290.13,295.45,298.0,3122106.0,1.0,0.0,SPOT,XNYS,2024-07-22
292.23,298.38,290.5,295.09,1782350.0,298.38,290.5,295.09,292.23,1782350.0,1.0,0.0,SPOT,XNYS,2024-07-19
296.66,298.32,288.07,290.16,1817221.0,298.32,288.07,290.16,296.66,1817298.0,1.0,0.0,SPOT,XNYS,2024-07-18
294.79,299.38,290.87,294.74,1981722.0,299.38,290.87,294.74,294.79,1982063.0,1.0,0.0,SPOT,XNYS,2024-07-17
303.78,304.87,294.85,298.5,1424671.0,304.87,294.85,298.5,303.78,1424739.0,1.0,0.0,SPOT,XNYS,2024-07-16
302.27,308.12,299.4,302.15,1145359.0,308.12,299.4,302.15,302.27,1145499.0,1.0,0.0,SPOT,XNYS,2024-07-15
302.13,307.44,300.39,302.27,1244537.0,307.44,300.39,302.27,302.13,1244537.0,1.0,0.0,SPOT,XNYS,2024-07-12
312.73,314.02,297.11,300.98,2288336.0,314.02,297.11,300.98,312.73,2288379.0,1.0,0.0,SPOT,XNYS,2024-07-11
308.0,312.31,304.85,304.99,2220209.0,312.31,304.85,304.99,308.0,2220271.0,1.0,0.0,SPOT,XNYS,2024-07-10
315.26,315.43,310.64,311.55,1448711.0,315.43,310.64,311.55,315.26,1448723.0,1.0,0.0,SPOT,XNYS,2024-07-09
321.94,322.0,309.01,313.71,1733351.0,322.0,309.01,313.71,321.94,1733408.0,1.0,0.0,SPOT,XNYS,2024-07-08
315.0,317.09,313.53,316.85,939759.0,317.09,313.53,316.85,315.0,939759.0,1.0,0.0,SPOT,XNYS,2024-07-05
315.3,316.08,311.01,314.8,661797.0,316.08,311.01,314.8,315.3,661797.0,1.0,0.0,SPOT,XNYS,2024-07-03
314.02,316.645,309.43,315.55,913259.0,316.645,309.43,315.55,314.02,913308.0,1.0,0.0,SPOT,XNYS,2024-07-02
313.64,314.42,306.81,313.84,1080523.0,314.42,306.81,313.84,313.64,1080524.0,1.0,0.0,SPOT,XNYS,2024-07-01
315.39,317.99,306.21,313.79,4934951.0,317.99,306.21,313.79,315.39,4934951.0,1.0,0.0,SPOT,XNYS,2024-06-28
319.29,324.56,314.24,315.38,1492581.0,324.56,314.24,315.38,319.29,1492581.0,1.0,0.0,SPOT,XNYS,2024-06-27
320.0,321.9999,316.19,318.96,1245607.0,321.9999,316.19,318.96,320.0,1245607.0,1.0,0.0,SPOT,XNYS,2024-06-26
317.91,322.73,312.615,321.28,1040853.0,322.73,312.615,321.28,317.91,1040853.0,1.0,0.0,SPOT,XNYS,2024-06-25
317.74,319.5,310.67,314.99,1485067.0,319.5,310.67,314.99,317.74,1485067.0,1.0,0.0,SPOT,XNYS,2024-06-24
311.71,319.04,308.4,317.74,1399924.0,319.04,308.4,317.74,311.71,1399924.0,1.0,0.0,SPOT,XNYS,2024-06-21
311.64,317.3,310.65,313.89,1476162.0,317.3,310.65,313.89,311.64,1476162.0,1.0,0.0,SPOT,XNYS,2024-06-20
310.0,312.31,305.4901,309.9,1218652.0,312.31,305.4901,309.9,310.0,1218652.0,1.0,0.0,SPOT,XNYS,2024-06-18
312.67,317.4519,310.88,311.22,1326030.0,317.4519,310.88,311.22,312.67,1326030.0,1.0,0.0,SPOT,XNYS,2024-06-17
307.23,316.7,305.85,313.02,2047135.0,316.7,305.85,313.02,307.23,2047135.0,1.0,0.0,SPOT,XNYS,2024-06-14
